hgnc_symbol	logFC_MUO	PValue_MUO	entrezgene
TMEM204	-0.117327009	0.486379895	79652
H1FNT	-0.015354701	0.486391059	341567
LOC105373368	-0.018153602	0.486396654	NA
LOC105374693	-0.060738697	0.48643843	NA
OR7C1	-0.026000977	0.48644063	26664
NA	NA	NA	NA
OR52D1	0.015276226	0.486448956	390066
NA	NA	NA	NA
NA	NA	NA	NA
LOC105372765	-0.022888183	0.48650218	NA
NA	NA	NA	NA
CSN2	0.016409738	0.486623232	1447
GAS1	-0.085501535	0.486654561	2619
LOC105376856	-0.017804827	0.486691369	NA
VPS36	-0.034493579	0.486697283	51028
LOC101928682	-0.015058245	0.486732511	NA
RALGAPB	0.038539341	0.486761693	57148
NA	NA	NA	NA
LOC105370690	-0.015895301	0.486778194	NA
LOC102724684	-0.014264788	0.486805605	NA
C3orf18	0.020106724	0.486879466	51161
MST1L /// LOC105369252 /// LOC102724562	0.036812919	0.48693569	NA
TRBV27	-0.015712195	0.486965714	NA
NA	NA	NA	NA
LOC101060632 /// LOC105379272	-0.047938757	0.487015396	NA
SNORD114-19	-0.023603167	0.487074609	NA
MIR587	-0.037527903	0.487145084	NA
LOC102724748	-0.131504602	0.487156141	NA
MIR4803	0.040440151	0.487193137	NA
LOC105376107	0.011230468	0.487248823	NA
LOC105369780	-0.010550364	0.487260414	NA
SLC24A5	-0.012686594	0.487349604	283652
PCOLCE-AS1	-0.028712681	0.487416683	NA
LOC105377851	0.034144812	0.487433181	NA
PLA2G4E-AS1	0.013837538	0.487483703	NA
LOC105376290	0.013061523	0.487506708	NA
NA	NA	NA	NA
LOC105373719	0.015040807	0.487524724	NA
MLLT4-AS1	-0.019025529	0.487565952	NA
NA	NA	NA	NA
ARHGAP18 /// TMEM244	-0.01145717	0.487666985	NA
PIWIL2	0.033935545	0.487679509	55124
SNX31	0.015293671	0.487703031	169166
IGHM /// IGHV4-31	0.034842353	0.487791046	NA
NA	NA	NA	NA
NTN5	-0.013724193	0.487838258	126147
NA	NA	NA	NA
CCDC183	0.020717077	0.487978128	84960
GNAZ	0.049560545	0.488011091	2781
TMC1	0.014840266	0.488042486	117531
TP53TG3HP	0.043012348	0.488147306	NA
NA	NA	NA	NA
XKRY /// XKRY2	-0.011989047	0.488162222	NA
XKRY /// XKRY2	-0.011989047	0.488162222	NA
USP26	0.013924736	0.48823376	83844
NA	NA	NA	NA
PARD6B	0.034624374	0.488263832	84612
FAM83E	0.039559502	0.488275459	54854
LINC00677	-0.028930663	0.488283624	NA
LOC101927286	0.029706682	0.488302276	NA
LOC105376859	-0.011151994	0.488308855	NA
LOC105374744	-0.011666433	0.488328398	NA
PCDHB11	0.061680382	0.488338083	56125
NA	NA	NA	NA
GPS2	-0.049612863	0.488480131	2874
NA	NA	NA	NA
MTCL1	0.029889787	0.488524067	23255
LOC101929307	-0.029009138	0.488587326	NA
TLX3	-0.031555178	0.488648494	30012
ZNF468	-0.071777342	0.488679355	90333
ZNF468	-0.071777342	0.488679355	162967
PGGT1B	-0.043369837	0.488730015	5229
PGGT1B	-0.043369837	0.488730015	5229
HCFC1	0.046700614	0.488732569	3054
PRKX-AS1	0.014064244	0.488786566	NA
NA	NA	NA	NA
PIH1D1	-0.034197127	0.488840853	55011
ODF3L2	-0.048357282	0.488914826	284451
GTPBP6	0.045235771	0.488946447	8225
NA	NA	NA	NA
TTTY15	-0.327035086	0.489004351	NA
ANO4	-0.016714914	0.489013303	121601
INHBA-AS1	0.015973772	0.489045048	NA
APH1A	-0.035975866	0.489078589	51107
EXOC2	0.071411132	0.489082321	55770
RASSF1	-0.054242815	0.489090267	11186
PRR27	0.012451172	0.489110808	401137
MIR4684	-0.01283482	0.489110881	NA
LRRC8C	0.028773716	0.489125064	84230
LRRC8C	0.028773716	0.489125064	84230
NA	NA	NA	NA
GABRA6	0.010375977	0.489258265	2559
MIR765	-0.024919783	0.489298616	NA
NA	NA	NA	NA
LINC01207	0.010192871	0.489325926	NA
MLNR	-0.022338868	0.489332756	2862
USP43	-0.012686594	0.489339911	124739
OR12D2	0.009565083	0.489368567	26529
NA	NA	NA	NA
NAB2	0.035871232	0.48945409	4665
LOC101929248	-0.012529646	0.489484924	NA
C4BPA	0.009460449	0.489490185	722
LOC101929099	0.017168317	0.489497958	NA
EIF2AK3	-0.063528877	0.48956161	9451
LOC101928595	0.026245116	0.489595189	NA
LOC105378320	-0.010079518	0.489610446	NA
NEK3	-0.061104913	0.489646938	4752
SLC46A3	0.075474331	0.489690219	283537
CITED1	-0.024858746	0.489711128	4435
NA	NA	NA	NA
CYP2G1P	-0.015938895	0.489761073	NA
PARG /// PARGP1	0.078700475	0.489842549	NA
ZNF622	-0.034144811	0.489940392	90441
OR4C16	0.01548549	0.489975183	219428
LOC102724943	-0.030447823	0.490000687	NA
UBXN6	0.057460241	0.490060703	80700
SEC23A	0.034423828	0.490073066	10484
LOC100507406	-0.013279507	0.490135948	NA
CEACAM4	0.016836984	0.490276862	1089
CAPRIN2	-0.052158898	0.49030695	65981
CAPRIN2	-0.052158898	0.49030695	65981
LOC729815	-0.011239187	0.490328193	NA
ZNF771	-0.028703962	0.490333682	51333
GRIA1	-0.033386231	0.490379453	2890
NA	NA	NA	NA
LINC01518	0.028695246	0.490401011	NA
CCNJ	0.031354631	0.490424002	54619
GREM1	0.054591589	0.490437203	26585
GLYCTK-AS1	0.035426546	0.490464755	NA
LOC105372866	0.014404298	0.490489289	NA
CSTF1	-0.038678851	0.490565264	1477
DAPK3	0.041939873	0.490655532	1613
LOC101928008	0.01020159	0.490680461	NA
LOC105379385	0.010654994	0.490750188	NA
FLJ34223	0.014168876	0.49079281	NA
MIR152	-0.053013395	0.490803424	NA
B3GALT5	-0.018920897	0.490811052	10317
NA	NA	NA	NA
LZTS1	0.029453822	0.49094612	11178
LOC101930149	-0.023236956	0.49095014	NA
LOC105379199	0.011186874	0.490976683	NA
KANK1	-0.038364955	0.49102186	23189
LOC105371739	0.010515486	0.491024045	NA
CDK17	-0.052193778	0.491062109	5128
ANKUB1	0.023280556	0.491064825	389161
ANKUB1	0.023280556	0.491064825	389161
ANKUB1	0.023280556	0.491064825	389161
NA	NA	NA	NA
FAM81B	0.011814664	0.491171985	153643
NA	NA	NA	NA
LOC105370408	-0.022661478	0.491275119	NA
STK3	0.014369421	0.491319714	6788
STK3	0.014369421	0.491319714	6788
PLA2G4E	0.01170131	0.491359857	123745
LOC105369759	-0.015502927	0.491360916	NA
ALDH1L1-AS1	-0.0368478	0.491385068	NA
COPZ2	-0.073120117	0.4914035	51226
LOC105377949	0.009817936	0.491462583	NA
LOC101927164	0.014840261	0.491462997	NA
SLFN12L	0.091151645	0.491623796	100506736
WNK2	-0.020629885	0.491694493	65268
MRGPRF-AS1	-0.031197687	0.491780388	NA
LOC101928907	-0.036865234	0.491835544	NA
GHRLOS	-0.042794364	0.491845384	NA
ZNF252P	0.05317906	0.491845922	NA
ATP10B	0.018345425	0.491904916	23120
LPAR3	-0.023141045	0.491960593	23566
SRRT	-0.035644531	0.491973698	51593
FITM2	0.062447682	0.491997363	128486
LOC105373737	-0.020472936	0.492054333	NA
PLD5	0.012477331	0.492070556	200150
PLD5	0.012477331	0.492070556	200150
GDF11	0.018301824	0.492081731	10220
KRTAP19-5	-0.022277833	0.492181816	337972
C11orf71	-0.025756835	0.492186304	54494
FAM92B	-0.017909459	0.492203226	339145
UBE2S	-0.037527901	0.492240975	27338
EXOC4	0.028285434	0.492277557	60412
KCNJ4	-0.027945382	0.492284851	3761
SNORA26	-0.029418947	0.492477631	NA
LINC00942	0.036263604	0.492509601	NA
CLDN18	-0.02546038	0.492549574	51208
IGHV3OR16-9 /// IGHV1OR16-3	0.028023858	0.49264936	NA
LRRTM1	-0.016959056	0.492733726	347730
MIR4429	0.020778114	0.492774607	NA
SF3B4	0.042532784	0.492798809	10262
GIPC2	-0.048200336	0.492819935	54810
SNORD14E	0.057250978	0.492841218	NA
NA	NA	NA	NA
STEAP2-AS1	0.033089774	0.492846926	NA
LOC105370364	-0.012050087	0.492913493	NA
CAST	-0.049874442	0.492929744	831
CAST	-0.049874442	0.492929744	831
NA	NA	NA	NA
NA	NA	NA	NA
SCAF4	-0.054059711	0.493169803	57466
GPX5	-0.012686594	0.493190073	2880
ALDH4A1 /// MIR4695	0.069004602	0.493201367	NA
VWA7	0.014334543	0.493213165	80737
MIR649	0.014744351	0.493246087	NA
LOC105371580	-0.011108396	0.493259911	NA
PKHD1	0.009599958	0.493296582	5314
LL22NC03-86D4.1	0.011099678	0.493332594	NA
LOC105376412	-0.013357979	0.493336654	NA
LYPD8 /// LOC105373276	0.014936176	0.4933706	NA
LOC105377740	0.019383021	0.493379306	NA
LOC105374620	0.014857702	0.49342174	NA
TNFSF18	-0.021257674	0.493466302	8995
LOC441233 /// LOC105375299	0.010567801	0.493476891	NA
LOC105370777 /// LOC105370782	0.012642999	0.493486	NA
LINC00452	-0.023742677	0.493510776	643365
LINC00452	-0.023742677	0.493510776	643365
BAIAP3	0.027910502	0.493617361	8938
NA	NA	NA	NA
USP33	-0.059116909	0.493666947	23032
LOC101928674	0.01879883	0.493697	NA
PAK4	-0.040945872	0.493700392	10298
LOC105374659	0.024379188	0.493715928	NA
IGKV1D-43	-0.012625556	0.493767992	NA
LOC105378208 /// LOC105378209	0.0116054	0.493771119	NA
TIFAB	0.034589495	0.493802048	497189
NA	NA	NA	NA
NRCAM	0.146990095	0.493864287	4897
NA	NA	NA	NA
PTPN5	-0.014229907	0.493893309	84867
C5orf60	0.016331263	0.493980338	285679
C5orf60	0.016331263	0.493980338	285679
LOC105372649	0.03424072	0.493985938	NA
SLC6A13	0.018537248	0.494032546	6540
ASAP3	-0.06298828	0.494036059	55616
OVOS2 /// OVOS	-0.021562849	0.494041256	NA
MEA1	-0.059709821	0.494083754	4201
TRMU /// GTSE1	-0.025948662	0.494086238	NA
LOC105377026	-0.013201035	0.494110682	NA
LOC101929295 /// LOC100129203	-0.018275667	0.494183194	NA
STRN	0.040370397	0.494215486	6801
LOC101927120	-0.010611399	0.494234227	NA
LOC105370304	0.010803224	0.494400761	NA
HSPA2	0.086356026	0.494477024	3306
LOC105375775	-0.014133998	0.494521568	NA
ZNF660 /// ZKSCAN7 /// ZNF197	0.035679407	0.494615676	NA
SPATA7	-0.059500557	0.494617388	55812
LOC100996442 /// LOC102724394	-0.131661551	0.494621551	NA
MIR548K	-0.064086915	0.494625206	NA
NA	NA	NA	NA
MROH5	0.031973703	0.494644131	389690
TAS2R46	-0.105085099	0.494678963	259292
LOC105372577	0.016557966	0.494686222	NA
LOC105370642	-0.154323034	0.494744621	NA
IPO13	0.041591101	0.494767453	9670
SNORA80E	0.172956194	0.494797371	NA
NA	NA	NA	NA
FBXO10	0.029506139	0.494844322	26267
CT47A7 /// CT47A6	0.025006976	0.494880634	NA
NA	NA	NA	NA
TRAJ7	0.022469655	0.494962934	NA
AVPR1B	-0.015354699	0.494964012	553
LOC105377502	0.014718191	0.494983781	NA
SH3GL2	0.011291502	0.495045379	6456
OR1J2	0.026689801	0.495058607	26740
OR1J2	0.026689801	0.495058607	26740
OR1J2	0.026689801	0.495058607	26740
YWHAEP7	-0.022748677	0.495067666	NA
LOC102725086	-0.021475653	0.495073223	NA
NA	NA	NA	NA
C15orf57	0.102416989	0.495226619	NA
LINC01057	0.016697472	0.495248011	NA
SNORA10 /// RPS2	0.160539901	0.495283154	NA
NA	NA	NA	NA
NA	NA	NA	NA
SPATA31A5 /// SPATA31A7	-0.010245185	0.495355364	NA
SLC25A16	0.108677455	0.495458975	8034
SLC25A16	0.108677455	0.495458975	8034
ADH4	-0.019060409	0.495501769	127
SPATA2L	0.029209683	0.495541166	124044
CCDC166	0.029584612	0.495552542	100130274
KRT15	-0.022862024	0.495601411	3866
NA	NA	NA	NA
ALS2	-0.031406948	0.495683176	57679
OR2A12	-0.010977607	0.495699832	346525
ARHGEF9	-0.031842916	0.495724238	23229
BEST3	-0.010175431	0.495749442	144453
HIGD1A	-0.094517297	0.495777442	25994
NA	NA	NA	NA
NA	NA	NA	NA
NR1I3	-0.019330707	0.49585958	9970
DNAJA1P5	-0.021318709	0.495897645	NA
SSX2 /// SSX2B	0.011413573	0.495926927	NA
LOC105377730	0.021092005	0.495930631	NA
KRTAP4-9	-0.018057688	0.495950073	100132386
NUDT11	0.012372698	0.495952084	55190
RHPN2	-0.02620152	0.495962266	85415
TGFBR3	0.06061663	0.495967352	7049
MIR4498	0.027125767	0.495970487	NA
LOC105373684	-0.029514859	0.496023141	NA
NA	NA	NA	NA
LOC102723833	-0.008710588	0.496064775	NA
NA	NA	NA	NA
C5orf56	-0.045706612	0.496193923	441108
LOC389831 /// LOC102724219 /// LOC102724441 /// LOC105379498 /// LOC102724843 /// LOC102724951 /// LOC102723360	-0.254621233	0.496265005	NA
NA	NA	NA	NA
LOC100130111	0.016880578	0.496422523	NA
IGKV2D-29	-0.012172154	0.496458305	NA
ZP4	-0.021100725	0.496493977	57829
SEPT5-GP1BB /// SEPT5 /// GP1BB	-0.036028182	0.496505416	NA
NA	NA	NA	NA
UCA1	-0.018205915	0.496530148	NA
NA	NA	NA	NA
C10orf55	0.018345426	0.49659889	414236
CAMLG	-0.068498887	0.496641282	819
KCNA5	0.035522462	0.496674869	3741
RFX3	0.067958288	0.49669594	5991
BCAR3	-0.050327847	0.496701459	8412
USP42	0.030046736	0.49671562	84132
USP42	0.030046736	0.49671562	84132
NA	NA	NA	NA
PLA2G2D	-0.025486539	0.49682407	26279
DNAJC17	-0.025408064	0.496856319	55192
PI4KAP1	-0.113507952	0.496873865	NA
PI4KAP1	-0.113507952	0.496873865	NA
NA	NA	NA	NA
IQGAP3	0.016924176	0.496903339	128239
ERCC4	-0.072963171	0.496982837	2072
SOX3	0.010951451	0.497038465	6658
CCL14 /// CCL15-CCL14 /// CCL15	0.032775878	0.497080313	NA
ANO3	-0.129237583	0.497080912	63982
COL20A1	0.026637487	0.497109049	57642
LOC102724380	0.010681151	0.497110869	NA
LOC101928478	-0.010402134	0.497265776	NA
ABCC6P1	-0.04772077	0.497282559	NA
LOC647859 /// OCLN	-0.397365025	0.497296051	NA
OR10V2P	0.022748674	0.497337325	NA
PRKAR2A-AS1	0.015572687	0.497364831	NA
NRAP	-0.012974331	0.497376969	4892
LOC728673	0.03513881	0.497378342	NA
DCAF8L1	0.014212472	0.497412616	139425
MAFA-AS1	0.026192801	0.497415037	NA
RBM6	-0.067068918	0.497510892	10180
OR51B4	-0.025425502	0.497551675	79339
LINC01543	0.012555801	0.497587794	NA
OS9	-0.025791713	0.497676787	10956
MPDU1	-0.046875002	0.497747836	9526
NA	NA	NA	NA
PCDH10	-0.016122001	0.497797371	57575
LOC105372849	-0.022495815	0.49780359	NA
LOC105369826	0.015825546	0.49780962	NA
PAPPA-AS1	0.019121441	0.497817003	NA
FERD3L	0.028329032	0.497955747	222894
LOC102723648	-0.022286553	0.497957381	NA
LOC101928161	0.017944335	0.49830746	NA
MMP17	0.028555735	0.498477807	4326
RPS6KA2-AS1	-0.016156878	0.49848182	NA
NA	NA	NA	NA
NA	NA	NA	NA
ZNF542P	-0.026227678	0.498550317	NA
HDHD2	-0.047607424	0.498658509	84064
GALT	-0.046630861	0.498714319	2592
NA	NA	NA	NA
LOC101927657	-0.012041362	0.498777094	NA
NA	NA	NA	NA
MIR548X	0.0118321	0.498801979	NA
RAMP1	0.038591659	0.498802994	10267
ERVMER61-1	-0.025765553	0.498821841	NA
LOC101928475	-0.014430456	0.498919449	NA
TSPAN18	-0.068272185	0.498932597	90139
LOC101927709	0.018886022	0.499018604	NA
C9orf92	-0.009443011	0.499021484	100129385
NA	NA	NA	NA
PGF	-0.02559117	0.499099497	5228
LOC105377405	0.008274623	0.499125269	NA
LDHAL6B	0.017116002	0.499213411	92483
OR5H6	-0.016619004	0.499304063	79295
NDUFA4L2	-0.037248883	0.499395606	56901
LOC105379224	-0.013174872	0.499397414	NA
OLAH	0.011160712	0.499400928	55301
SLC25A34	0.034720284	0.499401889	284723
MINPP1	-0.025948664	0.499487043	9562
EMILIN1	0.059570315	0.49951661	11117
OSCAR	0.025486535	0.499544861	126014
PICALM	0.027029854	0.499575183	8301
NA	NA	NA	NA
LOC105369329	-0.026192802	0.499645095	NA
NA	NA	NA	NA
CHST8	0.014944893	0.499738942	64377
ANXA2P2	-0.046805223	0.499765305	NA
OR9K2	-0.006565638	0.499780073	441639
NA	NA	NA	NA
FAM87B	-0.046072824	0.499821392	NA
LOC101928617	0.019487655	0.499905415	NA
LOC100132078	-0.010009764	0.499905908	NA
CXCL3	0.017551966	0.500166363	2921
LOC102724895	0.016959054	0.500185318	NA
PSMD12	-0.053850448	0.50023603	5718
MIR4431	0.006896975	0.500251737	NA
FAM74A6	-0.010044643	0.500276287	NA
LOC101927151 /// LOC102724694	-0.032836916	0.500281362	NA
SPANXN3	-0.013549805	0.500349223	139067
LINC00308	0.010759627	0.500431358	NA
MIR3202-1	-0.008893696	0.500538437	NA
SSX2 /// SSX2B	0.011282784	0.500599417	NA
BRPF1	-0.050502231	0.500638151	7862
ART5	0.0199149	0.500660206	116969
OSR2	0.067068918	0.500666868	116039
METTL24	0.035609653	0.500675686	728464
LOC285556	-0.018162321	0.500711698	NA
MIR1293	-0.024736675	0.500737114	NA
LOC105371773 /// LOC101059954	-0.01118687	0.50078992	NA
BTBD11	-0.034737723	0.50092811	121551
LOC100507336	-0.010960171	0.50093708	NA
EIF6	0.052995955	0.500982835	3692
MIR4457	-0.014883859	0.500987999	NA
MAP6	-0.014543805	0.501012731	4135
MAP6	-0.014543805	0.501012731	4135
VTI1A	0.031546455	0.501020732	143187
LINC01121	0.020150322	0.501079182	NA
CLDN20	-0.008850094	0.501107356	49861
ADGRG4	0.016549248	0.501117386	139378
NA	NA	NA	NA
WARS	-0.068516322	0.501219063	7453
TCF3	0.034929547	0.501222885	6929
PTX3	0.023681643	0.501223622	5806
FZD5	-0.073486328	0.501250484	7855
NA	NA	NA	NA
C14orf119	-0.043361117	0.501271877	55017
NECAB1	-0.359095985	0.501293723	64168
LINC01151	0.01551165	0.501337255	NA
NA	NA	NA	NA
INTS12 /// LOC101929558	-0.025826592	0.501396679	NA
HPCAL4	0.028093612	0.501415702	51440
MIR4655	0.036063057	0.501494664	NA
RHCE	-0.01614816	0.50149873	6006
TSPYL4	0.04976981	0.501555086	23270
USP2-AS1 /// LOC105369523	-0.021126883	0.501563823	NA
NPIPB3 /// NPIPB4 /// NPIPB5	0.076276505	0.501625125	NA
LOC105374476	-0.018929621	0.50163517	NA
ADARB2-AS1	-0.017883302	0.501677171	NA
SYNPO2	0.013183594	0.50168764	171024
SYNPO2	0.013183594	0.50168764	171024
TMEM9B	0.049194338	0.501738391	56674
OR10P1	0.035967147	0.501779751	121130
NA	NA	NA	NA
NA	NA	NA	NA
LOC105372352	-0.032610214	0.501897162	NA
FAM46D	-0.010314938	0.501953455	NA
LOC105378300	-0.01351493	0.501982405	NA
LINC00567	-0.017194475	0.502069485	NA
CBR4 /// LOC102723331	-0.057006838	0.502168431	NA
LOC101928436	0.070417129	0.502193229	NA
UBE2Q1	0.029680526	0.502199395	55585
SSPO	-0.016767231	0.502227757	23145
NA	NA	NA	NA
NA	NA	NA	NA
BCORP1	0.017987931	0.502337213	NA
MIR4477A	0.012015208	0.502338969	NA
IL17F	0.013680591	0.502404241	112744
ELOVL2-AS1	-0.016836983	0.502453549	NA
VWF	-0.100237165	0.50246086	7450
NA	NA	NA	NA
LINC01119	-0.020769389	0.502523061	NA
SMIM2-AS1	-0.031616213	0.502636083	NA
NA	NA	NA	NA
TRIB3	0.026000978	0.502707221	57761
LOC442132	-0.022862025	0.502736518	NA
SNORD115-24	-0.010123115	0.5027769	NA
LOC100131472	-0.01524135	0.502795027	NA
PTTG2	0.016819544	0.502807496	10744
KIAA0895L	-0.031441822	0.502821666	653319
LOC400867	0.014726913	0.502832361	NA
UGT2B10	0.012084962	0.502929402	7365
IGHV3-73 /// IGHG1	-0.039184569	0.502985394	NA
NA	NA	NA	NA
KRTAP19-6 /// KRTAP19-7	0.014569966	0.503126205	NA
LOC105372897	-0.010236469	0.503204576	NA
ZNF131 /// LOC100506639	-0.02776228	0.503231962	NA
SLC4A2	-0.027692521	0.503239374	6522
SLC4A2	-0.027692521	0.503239374	6522
C14orf177	0.014604842	0.503293363	283598
NA	NA	NA	NA
SNORD114-6	-0.021911623	0.503334656	NA
SLC14A2	0.161158971	0.503347924	8170
NA	NA	NA	NA
ELFN2	-0.01475307	0.503399139	114794
TMPRSS11A	0.011448452	0.503591539	339967
LOC105370548	-0.012032644	0.503652751	NA
ALPI	0.033595494	0.503661993	248
YBEY	0.049543107	0.503671312	54059
NA	NA	NA	NA
LOC102724744	-0.010463171	0.503735937	NA
LOC105376764	0.010742187	0.503781354	NA
MUC13	-0.008588517	0.503815457	56667
NA	NA	NA	NA
PLD1	-0.019644599	0.503860328	5337
PLD1	-0.019644599	0.503860328	5337
SYT7	-0.020193916	0.503899983	9066
C6orf201	0.013061523	0.503970606	404220
IGHV4-34 /// IGHM	0.237505234	0.503998964	NA
KLHL28	-0.022896902	0.50403226	54813
KIAA2026	-0.0476423	0.504113695	158358
SPDYE2 /// SPDYE2B	-0.062308175	0.504136294	NA
BCL9L	-0.047467912	0.504163575	283149
LOC105373168	0.015668597	0.504194685	NA
GOT2	0.052682059	0.504215893	2806
MIR3689D2	0.034606933	0.504275502	NA
MIR4678 /// MINPP1	-0.026515415	0.504305408	NA
ARHGAP42	0.047973634	0.504390138	143872
LOC102723834	-0.013872417	0.504458392	NA
NPY	-0.012076242	0.504493484	4852
NRARP	0.060328892	0.504531167	441478
NA	NA	NA	NA
MIR199B	-0.020368303	0.50457894	NA
LOC100129345	-0.014430457	0.504592116	NA
SRP72	-0.041015622	0.504683763	6731
PARD6A	0.052359443	0.504684294	50855
DDX4	0.011431012	0.504801406	54514
DRC3	0.018005372	0.504808929	83450
NA	NA	NA	NA
C1orf68	-0.020289828	0.504964479	100129271
PSMB2 /// LOC105378645	-0.020403181	0.504973426	NA
NBPF8 /// NBPF11 /// NBPF20	-0.04778181	0.505152256	NA
LOC101928627	-0.012268067	0.5051661	NA
ADAD1	-0.010829379	0.505170315	132612
TAF12	-0.042218889	0.505172565	6883
ARMC4 /// LOC105376464	-0.012869697	0.505204969	NA
ZBED2	0.016401016	0.505265865	79413
ARHGEF33 /// MORN2	0.016836985	0.505284531	NA
AKAP6	-0.029453827	0.505288654	9472
NXPH1	-0.012939453	0.505385234	30010
CENPBD1	0.032749721	0.505521377	92806
LINC00583	-0.007960729	0.505625181	NA
FBXW10	-0.024780272	0.505658073	10517
CPT1C	-0.025669643	0.505729704	126129
SNORA80A	0.078953336	0.505739519	NA
TMEM92	0.025556294	0.505742931	162461
APAF1	0.032296316	0.505751435	317
PCNAP1	-0.009660993	0.505755098	NA
LOC101927479	-0.023812429	0.50578816	NA
ZNF487 /// LOC439911	-0.017726351	0.505795101	NA
SAP30L-AS1	0.015860422	0.505798204	NA
LOC100500773	0.01261684	0.505803343	NA
HIST3H3	-0.038286482	0.505836645	8290
OR13H1	-0.007838659	0.505905966	347468
NKX2-8	0.01814488	0.50597994	26257
CHD5	0.018179756	0.505998697	26038
LOC105377559	-0.015476771	0.506041939	NA
LOC105376831	-0.012555803	0.50607276	NA
LOC105372736	0.050833566	0.506125371	NA
C1QL1	0.025756834	0.506139389	10882
FAM205A	0.015755789	0.506143086	259308
LOC105370524	-0.019932339	0.50615997	NA
B3GALT1	0.020682201	0.506215625	8708
B3GALT1	0.020682201	0.506215625	8708
LINC01090	0.011230469	0.50621643	NA
PDILT	0.013445172	0.506252234	204474
COG5	-0.026820593	0.506432919	10466
LOC105369346	-0.019574843	0.506443094	NA
PAX4	0.017438617	0.506464045	5078
C9orf139	-0.035487581	0.506572452	401563
LOC105369758	0.013488767	0.506581798	NA
KRTAP19-4	-0.010419575	0.506623844	337971
LOC105370564	-0.019452776	0.50666867	NA
POU3F3	0.022199359	0.506702176	5455
LOC105374394	0.00878906	0.506717402	NA
LOC728208	0.037920269	0.506722521	NA
DNAH2	-0.014604842	0.50672337	146754
LOC102723413	-0.015991212	0.506728879	NA
NA	NA	NA	NA
LOC100130815	-0.011875698	0.506755647	NA
SYCN	-0.026864187	0.506778891	342898
RPS2	0.024815152	0.506786639	6187
RPS2	0.024815152	0.506786639	6187
RPS2	0.024815152	0.506786639	6187
RPS2	0.024815152	0.506786639	6187
C10orf67	0.008387974	0.506801193	256815
ZBP1	0.020595007	0.506808625	81030
MARK2	0.038521905	0.50684203	2011
FYCO1	-0.057128907	0.506868031	79443
LOC102724545	0.016671315	0.506913481	NA
SNORD70	0.022800992	0.506915203	NA
SELT	0.022722518	0.506940948	NA
UPRT	0.037370956	0.506976673	139596
TBX2	0.073329381	0.506998085	6909
TBX2	0.073329381	0.506998085	6909
FNDC5	-0.048897881	0.50703888	252995
SLC5A11	-0.017508371	0.507097132	115584
LOC105372638 /// LOC105372639	-0.02180699	0.507098075	NA
TMBIM6 /// LOC105369762	-0.019880023	0.507099911	NA
CDHR2	0.022565568	0.507143821	54825
LOC105369582	-0.036586217	0.507148491	NA
CFAP45	-0.017691476	0.507177702	25790
LOC105373862	0.019086564	0.507181252	NA
ZSWIM2	0.011980329	0.50721218	151112
BMS1P5 /// LOC105369270 /// LOC102725194	-0.09981864	0.5072254	NA
NA	NA	NA	NA
LOC102467216	0.014543806	0.507251503	NA
CCDC60	-0.019888739	0.50726471	160777
RNU5E-1 /// LOC105376742	0.320172992	0.507325691	NA
NA	NA	NA	NA
SLC46A1	0.066632952	0.5074265	113235
NA	NA	NA	NA
LOC100134391	0.021013532	0.507734788	NA
LOC105374468	0.037275042	0.5078001	NA
LOC105377534	-0.009172714	0.507802344	NA
ZNF492	-0.02394322	0.507803071	57615
SEZ6L2	0.023367745	0.507891174	26470
LOC105373543	-0.022225516	0.507916352	NA
LINC00431	-0.016557966	0.507931003	NA
LOC101926934	-0.016845703	0.507936303	NA
LOC105369539	0.013916017	0.507955789	NA
UBFD1	0.043962752	0.507973713	56061
PAQR8	0.018694197	0.508030143	85315
LOC101929380	-0.010175433	0.508096094	NA
MARCH11 /// LOC105379640	-0.020132882	0.508108966	NA
LOC105374775	0.020359586	0.508115297	NA
SEMA6A-AS1	-0.029933383	0.508133151	NA
METTL25	-0.042306081	0.508143617	84190
C3orf58	-0.045096262	0.50814488	NA
CREG2	0.012765065	0.50814661	200407
TNFRSF8	-0.030212402	0.508161346	943
LOC105369428	0.008422853	0.508163044	NA
ESYT2	0.036760602	0.508248639	57488
CHEK1	0.028573173	0.508262208	1111
TRIM69 /// LOC100419583	0.013706751	0.508301309	NA
GNG8	-0.041155133	0.508344447	94235
GNG8	-0.041155133	0.508344447	94235
LIPF	-0.011265345	0.508357215	8513
H1FOO	0.040614536	0.508380822	132243
KIAA1324L	-0.092686244	0.508411492	222223
TMPRSS11F	-0.010907853	0.508455073	389208
WDR87	0.012102399	0.508484876	83889
LOC101929497	0.007838655	0.508493279	NA
LOC105371116	-0.016950335	0.508538967	NA
NAA11 /// LOC105377298	0.018301828	0.508544387	NA
SNAP91	-0.012390136	0.508553114	9892
CBFA2T3	-0.038216727	0.508622597	863
MIR4694	0.016104561	0.508696121	NA
UBN2	-0.063180106	0.508712691	254048
NA	NA	NA	NA
LINC00029	0.018214634	0.508793346	NA
EVA1B	0.038905551	0.508819526	55194
LRRC18 /// LOC105379865	0.017028811	0.50891426	NA
NA	NA	NA	NA
NA	NA	NA	NA
KLF3-AS1	0.021885465	0.50899631	NA
NA	NA	NA	NA
PRAMEF14	-0.01638358	0.5092362	729528
LRP5L	0.043003626	0.509294777	91355
